Filename,URL,Buyer ANID
sap_ariba_network (inv 1).281700021-325.2021.04.08.13.05.23.270,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).281700021-325.2021.04.08.13.05.23.270.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=E%2F%2FAf%2FmvqrUpCc1UbO3%2FdKfqmoXHWnTPdCp6%2FfelHek%3D,AN01003603018
sap_ariba_network (inv 1).281700021-326.2021.04.08.13.06.25.316,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).281700021-326.2021.04.08.13.06.25.316.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=%2B0zQQyS%2Bwhb4Xl1hZXGyInrYpY4Fr0oVo56DfGcYLfM%3D,AN01003603018
sap_ariba_network (inv 1).281700021-327.2021.04.08.13.06.09.086,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).281700021-327.2021.04.08.13.06.09.086.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=sD08bCiF4KVuWcTYBARBPXFugA7tcRffwMPYWc2Y3LU%3D,AN01003603018
sap_ariba_network (inv 1).9006852147 ms3.2021.04.07.14.26.04.712,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).9006852147 ms3.2021.04.07.14.26.04.712.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=F2ipiC6cMfkg%2BRl22Ty9nE00zMpSImM1G%2FVhFuKhxeE%3D,AN01003605715
sap_ariba_network (inv 1).invoice_spp22104412_for_customer_po_9000170552.2021.04.06.13.05.59.667,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_spp22104412_for_customer_po_9000170552.2021.04.06.13.05.59.667.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=TfobNkKSt%2BHFoGZGn34%2BSXH0su0kqAEYeQc%2Bj%2FQC3C4%3D,AN01036961352
sap_ariba_network (inv 1).invoice_spp22104413_for_customer_po_9000170553.2021.04.06.13.05.15.714,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_spp22104413_for_customer_po_9000170553.2021.04.06.13.05.15.714.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=UOqWug8%2BVsxCUEFcKWhLxHnY8KwBZngKoKFzDnxlVSM%3D,AN01036961352
sap_ariba_network (inv 1).invoice_spp22104414_for_customer_po_9000170557.2021.04.06.13.06.14.042,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_spp22104414_for_customer_po_9000170557.2021.04.06.13.06.14.042.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=iQmmrzeOdC3vlm2novlQyzkiuXtCbCMaBrOTeG2GD34%3D,AN01036961352
sap_ariba_network (inv 1).invoice_no_150959.2021.04.07.04.18.18.359,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150959.2021.04.07.04.18.18.359.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=gV8vQPddlGtVuuHKeEoxNY1i4fIY%2BHdBIUxDRKLytrY%3D,AN01003886221
sap_ariba_network (inv 1).invoice_spp22104415_for_customer_po_9000170575.2021.04.06.19.03.13.037,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_spp22104415_for_customer_po_9000170575.2021.04.06.19.03.13.037.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=aji58rJQTRPGUYSwakEU3EeduWzbaolCQruncp69Lws%3D,AN01036961352
sap_ariba_network (inv 1).invoice_spp22104415_for_customer_po_9000170575.2021.04.08.13.07.40.224,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_spp22104415_for_customer_po_9000170575.2021.04.08.13.07.40.224.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=1yJt3IfX8G0tBQBv%2FMevCXhn7ywD34fAC0mqcJjqbkU%3D,AN01036961352
sap_ariba_network (inv 1).invoice_spp22104415_for_customer_po_9000170575.2021.04.08.13.07.48.314,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_spp22104415_for_customer_po_9000170575.2021.04.08.13.07.48.314.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=415jDWvDGUrKjiJMp0sZuocVI42YsR60qAId2UTT2ns%3D,AN01036961352
sap_ariba_network (inv 1).invoice_no_150958.2021.04.07.04.15.55.906,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150958.2021.04.07.04.15.55.906.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=TA06eKbGHxWdAp2sjg%2Fg7B0W9tLoVURDgUWOpimu4o8%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150957.2021.04.07.04.15.48.078,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150957.2021.04.07.04.15.48.078.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=N%2FPaSsw7%2BnDQdV7kcKvQe9oJdrrxxSIBY2dWsAoGLn0%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150956.2021.04.07.04.13.27.656,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150956.2021.04.07.04.13.27.656.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=xoKfrYZNDkRYZedYVjj%2Bvc70HieEBradoXs34b9ub4U%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150955.2021.04.07.04.13.22.000,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150955.2021.04.07.04.13.22.000.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=bPv6gmX2c95L%2Bxzh3hCKr6GQOwQbATtJyPrYsJ6odUA%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150954.2021.04.07.04.10.54.313,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150954.2021.04.07.04.10.54.313.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=%2FUFddZGjVQ8zf%2FZ6sLm0ZP43SfGRiacUyjE12Amtdpo%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150953.2021.04.07.04.11.01.282,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150953.2021.04.07.04.11.01.282.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=%2BtANae9Jz9oLRUG6Y3K4ZwTlXsBU%2BX8Dj7zt%2FJixCI0%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150952.2021.04.07.04.10.48.157,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150952.2021.04.07.04.10.48.157.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=%2FZKneyoqO8k4t0wQFmEt%2BTUGJTbDgNJ6RR%2F9zB2B6XE%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150951.2021.04.07.04.08.28.689,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150951.2021.04.07.04.08.28.689.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=vDzm%2B71KB1k%2BmkEMf6S%2FOg8WnR%2FfwIlJbBZQWf0zDvI%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150949.2021.04.07.04.08.23.251,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150949.2021.04.07.04.08.23.251.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=vFYzMbAlqnJSmf4hJvHqQRsv5kQT4dX%2Fch%2BqXdplYM8%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150948.2021.04.07.03.58.13.520,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150948.2021.04.07.03.58.13.520.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=uRJSE81bnEwkpm0nVl7dM%2F2O7d%2BoHIlW4MFL5x8TwHk%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150947.2021.04.07.03.58.06.911,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150947.2021.04.07.03.58.06.911.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=JDe2x5MUMNnEW72TkJxKcwiPGchKIw%2BPJcPoDlQijpM%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150944.2021.04.07.03.30.48.636,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150944.2021.04.07.03.30.48.636.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=KoeMw6e5oScZRg2LahU9Vbw0PFehH4RuhB877e6dbpc%3D,AN01003886221
sap_ariba_network (inv 1).iv182182901049.2021.04.08.11.35.00.558,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).iv182182901049.2021.04.08.11.35.00.558.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=VSf3aNPWZRYAs9HOc5dK43Dgdj2YTDGl3oRcVbURe5c%3D,AN01046947061
sap_ariba_network (inv 1).invoice_no_150942.2021.04.07.03.28.16.371,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150942.2021.04.07.03.28.16.371.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=iyAh0fgmcmiN%2F1qhcRmIwHA%2FmTTa3ENHx3vgZBey5tU%3D,AN01003886221
sap_ariba_network (inv 1).iv182182901203.2021.04.08.16.44.20.894,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).iv182182901203.2021.04.08.16.44.20.894.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=WAweD96Pe1ZceKCdSLwXaDVu2QbPd4essSXxtWh3%2F2Q%3D,AN01046947061
sap_ariba_network (inv 1).iv182182901299.2021.04.08.19.34.56.395,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).iv182182901299.2021.04.08.19.34.56.395.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=Ef7bxuz1qvQesvE3PEXux8edm1Gcocm%2BuigX0a9PHFc%3D,AN01046947061
sap_ariba_network (inv 1).iv182182901383.2021.04.08.23.54.48.544,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).iv182182901383.2021.04.08.23.54.48.544.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=Lk%2F%2F%2BrkapPIFDa1X7sELtsyZP5bCCICuPmZBOs20Cj4%3D,AN01046947061
sap_ariba_network (inv 1).invoice_no_150941.2021.04.07.03.25.52.872,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150941.2021.04.07.03.25.52.872.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=OMaRYusmyme5x5jGDfCriLIjSxQOTD1igN2tlHx672I%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150940.2021.04.07.03.23.33.279,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150940.2021.04.07.03.23.33.279.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=Gz%2Fb34gu95iQ4KUf2IDQ68wVPk8Gr6pdwb%2BLauppqCw%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150939.2021.04.07.03.21.13.530,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150939.2021.04.07.03.21.13.530.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=pE0gkys358RVnR%2FhbU4DZ4SE9IejiSgkVf5SMy7dXvM%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150938.2021.04.07.03.21.07.952,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150938.2021.04.07.03.21.07.952.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=JKuRE%2B2zLB6pfpEnrTIUA3pnjwyIKtC4NGVrgzzH7GM%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150937.2021.04.07.03.15.15.923,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150937.2021.04.07.03.15.15.923.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=3narkQGtEAbmUpjHGwDsElL8be8hn9IvmRafpgoqibk%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150936.2021.04.07.03.15.23.001,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150936.2021.04.07.03.15.23.001.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=b%2FTLdbVzjiOtxYljVqb9cCXd%2FXn2cuT3%2F9idPkgh5oI%3D,AN01003886221
sap_ariba_network (inv 1).invoice_no_150935.2021.04.07.03.12.45.674,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).invoice_no_150935.2021.04.07.03.12.45.674.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=bKEi%2BCbeHNd%2FO0IDhfali4rzl9vGQqQC9kYhjQhnT1s%3D,AN01003886221
sap_ariba_network (inv 1).iv287287902868.2021.04.08.13.36.02.739,https://ctportalsap.blob.core.windows.net/docs/sap_ariba_network (inv 1).iv287287902868.2021.04.08.13.36.02.739.x.pdf.pdf?sv=2018-03-28&sr=b&si=sap_doc_policy&sig=%2BqAPrfkgUVuqvBiYNiqNXgy7VZtqIXBJii5Xz4LyS9U%3D,AN01046947061
